group,variable,value
a,day1,1
b,day2,0.850841043487808
c,day3,0.582154398175869
d,day4,0.17912443020796
e,day5,0.52964089770285
f,day6,0.617914380653325
g,day7,0.617914380653325
h,day8,0.477665147221226
i,day9,0.850841043487808
j,day10,0.40644850966247
k,day11,0.0298540717013266
l,day12,0.29424494316825
m,day13,0.52964089770285
n,day14,0.582154398175869
a,day1,0.850841043487808
b,day2,1
c,day3,0.411764705882353
d,day4,0.0441176470588235
e,day5,0.289885517826224
f,day6,0.405839724956714
g,day7,0.405839724956714
h,day8,0.279411764705882
i,day9,0.794117647058823
j,day10,0.0924061655450546
k,day11,-0.161764705882353
l,day12,0.0869656553478673
m,day13,0.405839724956714
n,day14,0.411764705882353
a,day1,0.582154398175869
b,day2,0.411764705882353
c,day3,1
d,day4,0.75
e,day5,0.927633657043918
f,day6,0.985610760609162
g,day7,0.985610760609162
h,day8,0.426470588235294
i,day9,0.352941176470588
j,day10,0.831655489905492
k,day11,0.602941176470588
l,day12,0.782690898130805
m,day13,0.985610760609162
n,day14,1
a,day1,0.17912443020796
b,day2,0.0441176470588235
c,day3,0.75
d,day4,1
e,day5,0.898645105261295
f,day6,0.666736691000316
g,day7,0.666736691000316
h,day8,-0.117647058823529
i,day9,-0.161764705882353
j,day10,0.893259600268861
k,day11,0.941176470588235
l,day12,0.985610760609162
m,day13,0.811679449913428
n,day14,0.75
a,day1,0.52964089770285
b,day2,0.289885517826224
c,day3,0.927633657043918
d,day4,0.898645105261295
e,day5,1
f,day6,0.885714285714286
g,day7,0.885714285714286
h,day8,0.260896966043602
i,day9,0.231908414260979
j,day10,0.94112394811432
k,day11,0.782690898130805
l,day12,0.942857142857143
m,day13,0.942857142857143
n,day14,0.927633657043918
a,day1,0.617914380653325
b,day2,0.405839724956714
c,day3,0.985610760609162
d,day4,0.666736691000316
e,day5,0.885714285714286
f,day6,1
g,day7,1
h,day8,0.463816828521959
i,day9,0.376851173174092
j,day10,0.819688599970537
k,day11,0.550782483869826
l,day12,0.714285714285714
m,day13,0.942857142857143
n,day14,0.985610760609162
a,day1,0.617914380653325
b,day2,0.405839724956714
c,day3,0.985610760609162
d,day4,0.666736691000316
e,day5,0.885714285714286
f,day6,1
g,day7,1
h,day8,0.463816828521959
i,day9,0.376851173174092
j,day10,0.819688599970537
k,day11,0.550782483869826
l,day12,0.714285714285714
m,day13,0.942857142857143
n,day14,0.985610760609162
a,day1,0.477665147221226
b,day2,0.279411764705882
c,day3,0.426470588235294
d,day4,-0.117647058823529
e,day5,0.260896966043602
f,day6,0.463816828521959
g,day7,0.463816828521959
h,day8,1
i,day9,0.75
j,day10,0.0616041103633697
k,day11,-0.323529411764706
l,day12,-0.0289885517826224
m,day13,0.376851173174092
n,day14,0.426470588235294
a,day1,0.850841043487808
b,day2,0.794117647058823
c,day3,0.352941176470588
d,day4,-0.161764705882353
e,day5,0.231908414260979
f,day6,0.376851173174092
g,day7,0.376851173174092
h,day8,0.75
i,day9,1
j,day10,0
k,day11,-0.397058823529412
l,day12,-0.0579771035652448
m,day13,0.318874069608847
n,day14,0.352941176470588
a,day1,0.40644850966247
b,day2,0.0924061655450546
c,day3,0.831655489905492
d,day4,0.893259600268861
e,day5,0.94112394811432
f,day6,0.819688599970537
g,day7,0.819688599970537
h,day8,0.0616041103633697
i,day9,0
j,day10,1
k,day11,0.893259600268861
l,day12,0.94112394811432
m,day13,0.819688599970537
n,day14,0.831655489905492
a,day1,0.0298540717013266
b,day2,-0.161764705882353
c,day3,0.602941176470588
d,day4,0.941176470588235
e,day5,0.782690898130805
f,day6,0.550782483869826
g,day7,0.550782483869826
h,day8,-0.323529411764706
i,day9,-0.397058823529412
j,day10,0.893259600268861
k,day11,1
l,day12,0.927633657043918
m,day13,0.637748139217693
n,day14,0.602941176470588
a,day1,0.29424494316825
b,day2,0.0869656553478673
c,day3,0.782690898130805
d,day4,0.985610760609162
e,day5,0.942857142857143
f,day6,0.714285714285714
g,day7,0.714285714285714
h,day8,-0.0289885517826224
i,day9,-0.0579771035652448
j,day10,0.94112394811432
k,day11,0.927633657043918
l,day12,1
m,day13,0.828571428571429
n,day14,0.782690898130805
a,day1,0.52964089770285
b,day2,0.405839724956714
c,day3,0.985610760609162
d,day4,0.811679449913428
e,day5,0.942857142857143
f,day6,0.942857142857143
g,day7,0.942857142857143
h,day8,0.376851173174092
i,day9,0.318874069608847
j,day10,0.819688599970537
k,day11,0.637748139217693
l,day12,0.828571428571429
m,day13,1
n,day14,0.985610760609162
a,day1,0.582154398175869
b,day2,0.411764705882353
c,day3,1
d,day4,0.75
e,day5,0.927633657043918
f,day6,0.985610760609162
g,day7,0.985610760609162
h,day8,0.426470588235294
i,day9,0.352941176470588
j,day10,0.831655489905492
k,day11,0.602941176470588
l,day12,0.782690898130805
m,day13,0.985610760609162
n,day14,1
