day,count
2016-05-12,171
2016-06-17,139
2016-05-02,556
2016-04-10,1
2016-05-04,485
2016-03-27,1
2016-05-26,42
2016-05-25,337
2016-05-23,267
2016-05-05,569
2016-03-31,32
2016-03-25,128
2016-05-13,221
2016-03-30,26
2016-03-15,3
2016-04-24,10
2016-04-27,312
2016-03-20,99
2016-05-10,358
2016-04-01,15
2016-05-11,199
2016-07-06,744
2016-05-08,23
2016-03-28,98
2016-03-29,64
2016-04-30,152
2016-03-21,148
2016-03-19,20
2016-05-07,69
2016-04-29,431
2016-04-25,330
2016-04-28,353
2016-04-18,9
2016-01-10,1
2016-01-09,2
2016-03-26,21
2016-05-27,18
2016-04-19,10
2016-04-06,1
2016-04-12,214
2016-05-03,536
2016-07-03,3
2016-06-16,1
2016-03-24,138
2016-04-26,351
2016-04-23,14
2016-05-01,19
2016-07-05,523
2016-05-22,3
2016-05-09,430
2016-05-24,472
2016-04-11,172
2016-03-17,7
2016-05-14,10
2016-05-06,449
2016-07-04,295
2016-05-15,12
2016-03-23,216
2016-03-18,47
2016-03-22,179
