day,count
2020-02-15,0
2020-02-16,-11
2020-02-17,-5
2020-02-18,1
2020-02-19,0
2020-02-20,-3
2020-02-21,-5
2020-02-22,-12
2020-02-23,-10
2020-02-24,-1
2020-02-25,7
2020-02-26,2
2020-02-27,-6
2020-02-28,-4
2020-02-29,-2
2020-03-01,-1
2020-03-02,-10
2020-03-03,-6
2020-03-04,-17
2020-03-05,-15
2020-03-06,-9
2020-03-07,2
2020-03-08,-6
2020-03-09,-18
2020-03-10,-11
2020-03-11,-14
2020-03-12,-15
2020-03-13,-12
2020-03-14,0
2020-03-15,-8
2020-03-16,-19
2020-03-17,-22
2020-03-18,-22
2020-03-19,-34
2020-03-20,-37
2020-03-21,-38
2020-03-22,-36
2020-03-23,-50
2020-03-24,-52
2020-03-25,-52
2020-03-26,-77
2020-03-27,-80
2020-03-28,-80
2020-03-29,-78
2020-03-30,-73
2020-03-31,-66
2020-04-01,-66
2020-04-02,-69
2020-04-03,-72
2020-04-04,-75
2020-04-05,-74
2020-04-06,-71
2020-04-07,-67
2020-04-08,-74
2020-04-09,-77
2020-04-10,-68
2020-04-11,-75
2020-04-12,-77
2020-04-13,-76
2020-04-14,-77
2020-04-15,-76
2020-04-16,-75
2020-04-17,-81
2020-04-18,-77
2020-04-19,-77
2020-04-20,-71
2020-04-21,-66
2020-04-22,-64
2020-04-23,-74
2020-04-24,-68
2020-04-25,-69
2020-04-26,-69
2020-04-27,-63
2020-04-28,-48
2020-04-29,-51
2020-04-30,-53
2020-05-01,-51
2020-05-02,-56
2020-05-03,-72
2020-05-04,-59
2020-05-05,-64
2020-05-06,-48
2020-05-07,-55
2020-05-08,-51
2020-05-09,-41
2020-05-10,-44
2020-05-11,-54
2020-05-12,-52
2020-05-13,-53
2020-05-14,-45
2020-05-15,-42
2020-05-16,-35
2020-05-17,-33
2020-05-18,-39
2020-05-19,-37
2020-05-20,-38
2020-05-21,-42
2020-05-22,-39
2020-05-23,-33
2020-05-24,-53
2020-05-25,-57
2020-05-26,-41
2020-05-27,-45
2020-05-28,-40
2020-05-29,-45
2020-05-30,-26
2020-05-31,-31
2020-06-01,-34
