id,name,number,comment
250,France,1,"J'ai grandi à <a target='_blank' href='https://fr.wikipedia.org/wiki/Brian\%C3\%A7on'>Briançon</a> (1993-2009), puis je suis parti pour mes études : <a target='_blank' href='https://fr.wikipedia.org/wiki/Classe_pr\%C3\%A9paratoire\_aux\_grandes\_\%C3\%A9coles'>prépa</a> au <a target='_blank' href='http://www.lyc-thiers.ac-aix-marseille.fr/'>Lycée Thiers</a> à <a target='_blank' href='https://fr.wikipedia.org/wiki/Marseille'>Marseille</a> (2009-11), puis Licence et deux Masters à <a target='_blank' href='http://www.ens-cachan.fr/english_version'>l'ENS Cachan</a> près de <a target='_blank' href='https://fr.wikipedia.org/wiki/Paris'>Paris</a> (2011-16), et actuellement <a target='_blank' href='https://perso.crans.org/besson/phd/'>ma thèse</a> à <a target='_blank' href='http://www.centralesupelec.fr/en'>CentraleSupélec</a> à <a target='_blank' href='https://fr.wikipedia.org/wiki/Rennes'>Rennes</a> et <a target='_blank' href='https://fr.wikipedia.org/wiki/Lille'>Lille</a> (depuis 2016)."
380,Italie,2,"<a target='_blank' href='https://fr.wikipedia.org/wiki/Turin'>Turin</a> quelques fois en 1999, 2003 et 2007, et une semaine de vacances en <a target='_blank' href='https://fr.wikipedia.org/wiki/Toscane'>Toscane</a> en 2016.<br><i>Mes amis et moi avions particulièrement adoré la ville de <a target='_blank' href='https://fr.wikipedia.org/wiki/Pise'>Pise</a></i>."
840,États Unis d'Amérique,3,"1 mois en 2005 à <a target='_blank' href='https://fr.wikipedia.org/wiki/Norwalk'>Norwalk</a>, CT, pour rendre visite à <a target='_blank' href='http://www.studiob-ct.com/about/'>ma tante</a>."
124,Canada,4,"1 semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Québec'>Québec</a> en 2005 pour rendre visite à un cousin, avec ma tante.<br><i>De très bon souvenirs du Québec!</i>"
724,Espagne,5,"<a target='_blank' href='https://fr.wikipedia.org/wiki/Valence_(Espagne)'>Valence</a> en 2005, <a target='_blank' href='https://fr.wikipedia.org/wiki/Barcelone'>Barcelone</a> en 2009 et 2013 pour des vacances, et <a target='_blank' href='https://fr.wikipedia.org/wiki/Cadix'>Cadix</a> en 2016 pour l'<a target='_blank' href='http://learning.mpi-sws.org/mlss2016/poster-sessions/'>École d'Été d'Apprentissage Automatique</a>.<br><i>Cadix et Séville sont de très belles villes ! Vive l'Espagne !</i><br>Je suis retourné en Espagne pour deux conférences en 2018, une semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Lanzarote'>Lanzarote</a> pour <a target='_blank' href='http://www.cs.cornell.edu/conferences/alt2018/'>ALT 2018</a>, et une semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Barcelone'>Barcelone</a> pour <a target='_blank' href='http://wcnc2018.ieee-wcnc.org/'>IEEE WCNC 2018</a>."
372,Irlande,6,"1 semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Cork'>Cork</a> et au sud de l'<a target='_blank' href='https://fr.wikipedia.org/wiki/Irlande'>Irlande</a> en 2006 pour un voyage scolaire."
276,Allemagne,7,"Une visite d'un journée à <a target='_blank' href='https://fr.wikipedia.org/wiki/Universit%C3%A9_de_la_Sarre'>Université de Saarbrücke</a> en 2011, et une semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Berlin'>Berlin</a> en 2013 pour des vacances."
752,Suède,8,"Une semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Stockholm'>Stockholm</a> en 2009, pour une collaboration avec le <a target='_blank' href='http://www.lfsl.net/'>Lycée Français à Stockholm</a>, pour <a target='_blank' href='http://www.lyc-altitude.ac-aix-marseille.fr/spip/spip.php?article91'>un projet de recherche junior via l'association «Math.en.Jeans» sur la géométrie tropicale</a>."
442,Luxembourg,9,"Un voyage durant un week-end 2013.<br><i>Pas tellement intéressant... Ça ressemble trop à Paris, simplement plus cher. Et plus petit.</i>"
826,Royaume Uni,10,"3 mois en 2013 pour un stage de recherche à <a target='_blank' href='http://www.cs.ucl.ac.uk/'>« University College of London » (UCL)</a> à <a target='_blank' href='https://fr.wikipedia.org/wiki/Londres'>Londres</a>, avec <a target='_blank' href='http://www0.cs.ucl.ac.uk/staff/p.ohearn/'>Peter O'Hearn</a> et <a target='_blank' href='http://www.doc.ic.ac.uk/~jvillar1/'>Jules Villard</a>. Voir <a target='_blank' href='https://perso.crans.org/besson/slidesM1Info13.pdf'>mon rapport</a>.<i>Vivre à Londres était cool, et c'est sûrement une ville intéressante, mais c'était bien trop grand avec trop de monde pour moi...</i><br>Je vais en Écosse pour des vacances en août 2018 !"
356,Inde,11,"Deux semestres en 2014-2015 comme professeur junior à <a target='_blank' href='http://www.mahindraecolecentrale.edu.in/'>Mahindra École Centrale</a> à <a target='_blank' href='https://fr.wikipedia.org/wiki/Hyderabad'>Hyderabad</a>, j'ai enseigné environ 280 h au niveau 1ère année post-bac en mathématiques et informatique.<br><i>C'était une expérience formidable!!</i> Voir <a target='_blank' href='https://perso.crans.org/besson/cs101/'>les ressources que j'ai écrit pour le cours CS101 d'informatique</a>."
352,Islande,12,"3 semaines en 2015, en camping et auto-stop tout le long de la côté sud en <a target='_blank' href='https://fr.wikipedia.org/wiki/Islande'>Islande</a>.<br><i>C'était vraiment magique !</i> <a target='_blank' href='https://www.facebook.com/media/set/?set=a.10207778352675620.1073741832.1198154202&type=1&l=a22ed820ed'>Voici mes meilleures photos !</a>"
756,Suisse,13,"Quelques jours en 2003, et 5 mois en 2016 pour un stage de recherche à l'<a target='_blank' href='http://bigwww.epfl.ch/'>EPFL</a> à <a target='_blank' href='https://fr.wikipedia.org/wiki/Lausanne'>Lausanne</a> avec <a target='_blank' href='http://bigwww.epfl.ch/unser/'>Michael Unser</a> et <a target='_blank' href='http://bigwww.epfl.ch/fageot/'>Julien Fageot</a>, pour le Master MVA en science des données et mathématiques. Voir <a target='_blank' href='https://goo.gl/xPzw4A'>mon rapport de recherche</a>.<br><i>J'ai majoré ce master, qui est un des plus côtés de France en maths appliquées ! Et Lausanne est une ville adorable !</i>"
348,Hongrie,14,"4 jours à <a target='_blank' href='https://fr.wikipedia.org/wiki/Budapest'>Budapest</a> en 2016 pour des vacances.<br><i>J'ai adoré cette ville !</i>"
40,Autriche,15,"4 jours à <a target='_blank' href='https://fr.wikipedia.org/wiki/Vienne'>Vienne</a> en 2016 pour des vacances.<br><i>Rien de particulier... Ça ressemble beaucoup à Paris, mais plus froid et plus cher !</i>"
300,Grèce,16,"10 jours à <a target='_blank' href='https://fr.wikipedia.org/wiki/Athènes'>Athènes</a>, <a target='_blank' href='https://fr.wikipedia.org/wiki/Delphes'>Delphes</a> et <a target='_blank' href='https://fr.wikipedia.org/wiki/Corinthe'>Corinthe</a> en 2017 pour des vacances.<br><i>C'était vraiment super ! La citadelle de Corinthe est un endroit magique...</i>"
56,Belgique,17,"1 jour à <a target='_blank' href='https://fr.wikipedia.org/wiki/Bruxelles'>Bruxelles</a> en 2017.<i>Trop court pour avoir une opinion sur la Belgique...</i>"
528,Pays Bas,18,"1 semaine à <a target='_blank' href='https://fr.wikipedia.org/wiki/Amsterdam'>Amsterdam</a> pour la <a target='_blank' href='http://www.learningtheory.org/colt2017/the-conference/'>30ème Conférence sur la Théorie de l'Apprentissage (COLT)</a> pour <a target='_blank' href='https://perso.crans.org/besson/phd/'>ma thèse</a>, et quelques jours en 2018 à <a target='_blank' href='http://www.erim.eur.nl/e-code-erasmus-centre-for-optimization-of-digital-experiments/workshop-on-multi-armed-bandits-and-learning-algorithms/'>Rotterdam</a> pour un atelier de recherche.<br><i>J'ai beaucoup aimé Amsterdam ! Tellement belle et calme !</i>"
