anyo,inicio,fin,Response_measure,Country
1,03-11-2020,NA,BanOnAllEvents,Austria
2,16-03-2020,30-04-2020,EntertainmentVenues,Austria
2,03-11-2020,07-02-2021,EntertainmentVenues,Austria
3,14-09-2020,NA,MasksMandatoryAllSpaces,Austria
4,16-03-2020,13-04-2020,NonEssentialShops,Austria
4,17-11-2020,06-12-2020,NonEssentialShops,Austria
4,26-12-2020,07-02-2021,NonEssentialShops,Austria
5,16-03-2020,15-05-2020,RestaurantsCafes,Austria
5,03-11-2020,NA,RestaurantsCafes,Austria
6,17-11-2020,NA,SocialCircle,Austria
7,16-03-2020,30-04-2020,StayHomeOrder,Austria
7,17-11-2020,07-02-2021,StayHomeOrder,Austria
8,10-03-2020,NA,Teleworking,Austria
1,02-11-2020,07-03-2021,BanOnAllEvents,Belgium
2,13-03-2020,17-05-2020,EntertainmentVenues,Belgium
2,02-11-2020,NA,EntertainmentVenues,Belgium
3,11-07-2020,30-09-2020,MasksMandatoryAllSpaces,Belgium
4,13-03-2020,03-05-2020,NonEssentialShops,Belgium
4,02-11-2020,30-11-2020,NonEssentialShops,Belgium
5,13-03-2020,07-06-2020,RestaurantsCafes,Belgium
5,19-10-2020,NA,RestaurantsCafes,Belgium
6,18-03-2020,NA,SocialCircle,Belgium
7,18-03-2020,09-05-2020,StayHomeOrder,Belgium
8,10-03-2020,07-06-2020,Teleworking,Belgium
8,19-10-2020,NA,Teleworking,Belgium
1,08-03-2020,14-05-2020,BanOnAllEvents,Bulgaria
2,13-03-2020,17-05-2020,EntertainmentVenues,Bulgaria
3,30-03-2020,31-03-2020,MasksMandatoryAllSpaces,Bulgaria
3,12-04-2020,30-04-2020,MasksMandatoryAllSpaces,Bulgaria
4,13-03-2020,17-05-2020,NonEssentialShops,Bulgaria
4,27-11-2020,31-01-2021,NonEssentialShops,Bulgaria
5,13-03-2020,31-05-2020,RestaurantsCafes,Bulgaria
5,01-12-2020,28-02-2021,RestaurantsCafes,Bulgaria
8,13-03-2020,29-03-2020,Teleworking,Bulgaria
8,14-11-2020,26-11-2020,Teleworking,Bulgaria
1,19-03-2020,18-04-2020,BanOnAllEvents,Croatia
2,19-03-2020,28-05-2020,EntertainmentVenues,Croatia
3,28-10-2020,NA,MasksMandatoryAllSpaces,Croatia
4,19-03-2020,27-04-2020,NonEssentialShops,Croatia
5,19-03-2020,11-05-2020,RestaurantsCafes,Croatia
5,28-11-2020,28-02-2021,RestaurantsCafes,Croatia
8,19-03-2020,27-05-2020,Teleworking,Croatia
1,10-03-2020,24-06-2020,BanOnAllEvents,Cyprus
2,16-03-2020,20-05-2020,EntertainmentVenues,Cyprus
2,11-12-2020,07-02-2021,EntertainmentVenues,Cyprus
3,05-11-2020,NA,MasksMandatoryAllSpaces,Cyprus
4,16-03-2020,03-05-2020,NonEssentialShops,Cyprus
5,16-03-2020,20-05-2020,RestaurantsCafes,Cyprus
5,11-12-2020,14-03-2021,RestaurantsCafes,Cyprus
7,24-03-2020,03-05-2020,StayHomeOrder,Cyprus
9,16-03-2020,14-04-2020,WorkplaceClosures,Cyprus
1,22-10-2020,03-12-2020,BanOnAllEvents,Czechia
1,18-12-2020,NA,BanOnAllEvents,Czechia
2,17-03-2020,10-05-2020,EntertainmentVenues,Czechia
2,14-10-2020,02-12-2020,EntertainmentVenues,Czechia
2,18-12-2020,NA,EntertainmentVenues,Czechia
3,19-03-2020,24-07-2020,MasksMandatoryAllSpaces,Czechia
3,01-09-2020,NA,MasksMandatoryAllSpaces,Czechia
4,14-03-2020,11-05-2020,NonEssentialShops,Czechia
4,22-10-2020,02-12-2020,NonEssentialShops,Czechia
4,27-12-2020,NA,NonEssentialShops,Czechia
5,14-03-2020,10-05-2020,RestaurantsCafes,Czechia
5,14-10-2020,02-12-2020,RestaurantsCafes,Czechia
5,18-12-2020,NA,RestaurantsCafes,Czechia
7,16-03-2020,24-04-2020,StayHomeOrder,Czechia
7,22-10-2020,03-12-2020,StayHomeOrder,Czechia
7,18-12-2020,11-04-2021,StayHomeOrder,Czechia
8,22-10-2020,NA,Teleworking,Czechia
1,26-10-2020,05-04-2021,BanOnAllEvents,Denmark
2,18-03-2020,08-06-2020,EntertainmentVenues,Denmark
2,16-12-2020,NA,EntertainmentVenues,Denmark
4,28-04-2020,10-05-2020,NonEssentialShops,Denmark
4,16-12-2020,28-02-2021,NonEssentialShops,Denmark
5,18-03-2020,17-05-2020,RestaurantsCafes,Denmark
5,16-12-2020,NA,RestaurantsCafes,Denmark
8,13-03-2020,14-06-2020,Teleworking,Denmark
8,16-12-2020,05-04-2021,Teleworking,Denmark
9,13-03-2020,10-05-2020,WorkplaceClosures,Denmark
2,12-03-2020,16-05-2020,EntertainmentVenues,Estonia
4,27-03-2020,17-05-2020,NonEssentialShops,Estonia
2,18-03-2020,31-05-2020,EntertainmentVenues,Finland
5,18-03-2020,31-05-2020,RestaurantsCafes,Finland
8,18-03-2020,01-08-2020,Teleworking,Finland
1,19-10-2020,NA,BanOnAllEvents,France
2,16-03-2020,01-06-2020,EntertainmentVenues,France
2,28-10-2020,NA,EntertainmentVenues,France
3,28-10-2020,NA,MasksMandatoryAllSpaces,France
4,16-03-2020,10-05-2020,NonEssentialShops,France
4,29-10-2020,27-11-2020,NonEssentialShops,France
5,16-03-2020,01-06-2020,RestaurantsCafes,France
5,28-10-2020,NA,RestaurantsCafes,France
6,28-10-2020,NA,SocialCircle,France
7,17-03-2020,11-05-2020,StayHomeOrder,France
7,28-10-2020,14-12-2020,StayHomeOrder,France
8,17-03-2020,10-05-2020,Teleworking,France
8,29-10-2020,NA,Teleworking,France
9,17-03-2020,11-05-2020,WorkplaceClosures,France
1,23-03-2020,10-05-2020,BanOnAllEvents,Germany
1,02-11-2020,NA,BanOnAllEvents,Germany
2,16-03-2020,04-05-2020,EntertainmentVenues,Germany
2,02-11-2020,07-03-2021,EntertainmentVenues,Germany
4,16-03-2020,20-04-2020,NonEssentialShops,Germany
4,16-12-2020,07-03-2021,NonEssentialShops,Germany
5,23-03-2020,04-05-2020,RestaurantsCafes,Germany
5,02-11-2020,NA,RestaurantsCafes,Germany
1,07-11-2020,25-01-2021,BanOnAllEvents,Greece
2,14-03-2020,17-05-2020,EntertainmentVenues,Greece
2,07-11-2020,NA,EntertainmentVenues,Greece
3,17-07-2020,NA,MasksMandatoryAllSpaces,Greece
4,14-03-2020,03-05-2020,NonEssentialShops,Greece
4,07-11-2020,17-01-2021,NonEssentialShops,Greece
