country_region_code,date,Retail & Recreation,Grocery & Pharmacy,Parks,Transit stations,Workplaces,Residential
AT,3/10/2020,-2.706666667,8.734042553,-3.555555556,-1.5,0.608247423,0.382022472
AT,3/11/2020,-4.486842105,16.91578947,5.352941176,-2.930232558,-0.226804124,0.629213483
AT,3/12/2020,-8.289156627,23.90526316,10.23684211,-4.341176471,-1.855670103,1.431818182
AT,3/13/2020,-17.97701149,45.30208333,-23.37777778,-13.54022989,-4.24742268,4.681818182
AT,3/14/2020,-35.97619048,-8.947368421,-21.04255319,-31.02597403,-8.694117647,7.947368421
AT,3/15/2020,-57.55882353,-40.72222222,-15.71428571,-37.61333333,-18.60526316,7.318181818
AT,3/16/2020,-71.1038961,-16.08510638,-44.87179487,-49.83146067,-40.67346939,18.17073171
AT,3/17/2020,-79.07594937,-34.75,-47.45945946,-57.69318182,-52.20408163,22.78947368
AT,3/18/2020,-79.3125,-34.10989011,-35.71052632,-57.90909091,-54.71428571,23.07894737
AT,3/19/2020,-79.56470588,-31.48913043,-36.5952381,-59.23595506,-56.93877551,24.7972973
AT,3/20/2020,-81.61176471,-32.43157895,-38.14285714,-62.03370787,-57.16326531,25.46376812
AT,3/21/2020,-88.5,-43.06666667,-65.01754386,-69,-52.8021978,20.125
AT,3/22/2020,-90.98113208,-72.77777778,-56.12280702,-70.57333333,-52.71604938,15.3
AT,3/23/2020,-79.37179487,-32.09574468,-58.19047619,-65.45454545,-57.30612245,24.5
AT,3/24/2020,-80.3125,-35.65555556,-49.02564103,-63.89772727,-58.75510204,25.34722222
AT,3/25/2020,-81.35443038,-35.77777778,-57.73170732,-66.24137931,-58.89795918,25.94366197
AT,3/26/2020,-81.24705882,-32.91208791,-60.30434783,-66.75,-59.06122449,27.01388889
AT,3/27/2020,-80.68604651,-30.58510638,-42.60869565,-64.52873563,-58.21428571,26.43478261
AT,3/28/2020,-83.97647059,-35.63333333,-29.2826087,-60.18987342,-48.57303371,16.6
AT,3/29/2020,-88.48214286,-72.23529412,-45.90384615,-65.42465753,-50.2,14.09090909
AT,3/30/2020,-77.96153846,-31.4893617,-60.5,-65.80681818,-55.43877551,23.94520548
AT,3/31/2020,-76.6875,-25.7311828,-51.05263158,-62.40909091,-56.13265306,23.87671233
AT,4/1/2020,-77.09876543,-33.32608696,-40.36585366,-59.5505618,-55.79591837,23.15068493
AT,4/2/2020,-76.36904762,-30.87234043,-39.0952381,-60.05617978,-56.28571429,24.09722222
AT,4/3/2020,-78.63529412,-28.13684211,-46.84444444,-61.69318182,-56.60204082,25.11428571
AT,4/4/2020,-83.29411765,-34.98913043,-38.17021277,-60.56962025,-47.14606742,16.95
AT,4/5/2020,-82.98275862,-64.88888889,-20.9375,-56.51315789,-45.83544304,11.90909091
AT,4/6/2020,-72.12820513,-27.08510638,-32.58974359,-56.42045455,-54.73469388,20.81333333
AT,4/7/2020,-73.1375,-26.11827957,-26.03030303,-54.64772727,-55.57142857,20.98666667
AT,4/8/2020,-72.9375,-22.57608696,-25.88235294,-53.56179775,-55.28571429,20.44
AT,4/9/2020,-72.72289157,-15.11578947,-29.97435897,-54.60227273,-56.39795918,21.6
AT,4/10/2020,-75.68604651,-19.37894737,-29.95348837,-59.60674157,-60.97959184,23.93846154
AT,4/11/2020,-81.52941176,-32.02150538,-25.93617021,-56.49367089,-44.78651685,14.86363636
AT,4/12/2020,-84.46428571,-63.5,-17.36734694,-57.28947368,-45.40506329,11
AT,4/13/2020,-90.96969697,-95.24691358,-27.13513514,-72.93023256,-87.57291667,31.70588235
AT,4/14/2020,-58.32051282,-18.10638298,-44.47368421,-54.20454545,-49.85714286,19.41558442
AT,4/15/2020,-59.3875,-22.85106383,-24.65714286,-48.5505618,-48.20408163,18.5125
AT,4/16/2020,-60.52439024,-18.92631579,-21.875,-48.65909091,-48.2755102,18.82278481
AT,4/17/2020,-62.06976744,-19.15789474,-21.5,-49.68539326,-48.86734694,19.15789474
AT,4/18/2020,-68.97647059,-22.51578947,-16.53333333,-48.12820513,-35.39772727,12.60714286
AT,4/19/2020,-83.62068966,-66.1875,-36.51785714,-58.89333333,-41.1,11.58333333
AT,4/20/2020,-53.86666667,-21.89473684,-32.78378378,-48.91954023,-44.69387755,16.79268293
AT,4/21/2020,-56.20512821,-20.38297872,-18.22857143,-46.37931034,-44.86734694,17.03658537
AT,4/22/2020,-56.8375,-19.90322581,-12.82352941,-44.90804598,-44.39795918,16.26829268
AT,4/23/2020,-57.73170732,-16.29787234,-14.02564103,-45.82758621,-44.98979592,16.88888889
AT,4/24/2020,-59.8372093,-17.125,-21.76190476,-48.47727273,-46.53061224,18.06578947
AT,4/25/2020,-66.05882353,-18.93684211,-13.17777778,-46.51948052,-32.68181818,11.62068966
AT,4/26/2020,-71.88888889,-58.93333333,5.127659574,-44.10958904,-33.39240506,7.923076923
AT,4/27/2020,-52.49333333,-20.13684211,-29.71052632,-45.26744186,-41.52040816,15.10843373
AT,4/28/2020,-54.61538462,-17.95744681,-17.58823529,-43.43023256,-41.7244898,15.08433735
AT,4/29/2020,-56.5375,-8.905263158,-49.17948718,-49.56818182,-42.6122449,17.2195122
AT,4/30/2020,-43.03614458,19.02105263,-23.95,-41.71264368,-41.70408163,13.25301205
AT,5/1/2020,-83.22619048,-92.64772727,-15.475,-61.03409091,-81.7755102,26.75
AT,5/2/2020,-40.35714286,7.368421053,-24.37777778,-41.34666667,-24.48837209,8.59375
AT,5/3/2020,-69.79365079,-54.64285714,-2.979166667,-38.94366197,-29.56410256,6.8125
